Strategija upravljanja vodama Crne Gore za razdoblje 2016.-2035.	13.09.2016. - OBAVIJEST o javnoj raspravi [PDF]	http://mzoip.hr/doc/13092016_-_obavijest_o_javnoj_raspravi.pdf
Strategija upravljanja vodama Crne Gore za razdoblje 2016.-2035.	Strateška studija [PDF]	http://mzoip.hr/doc/strateska_studija_4.pdf
Strategija upravljanja vodama Crne Gore za razdoblje 2016.-2035.	Nacrt Strategije upravljanja vodama [PDF]	http://mzoip.hr/doc/nacrt_strategije_upravljanja_vodama.pdf
Mađarski Nacionalni program provedbe zbrinjavanja istrošenog nuklearnog goriva i radioaktivnog otpada	11.03.2016. - OBAVIJEST o javnoj raspravi [PDF]	http://mzoip.hr/doc/11032016_-_obavijest_o_javnoj_raspravi.pdf
Mađarski Nacionalni program provedbe zbrinjavanja istrošenog nuklearnog goriva i radioaktivnog otpada	Strateška studija sa sažetkom Nacrta Programa i ne-tehničkim sažetkom Studije [PDF]	http://mzoip.hr/doc/strateska_studija_utjecaja_na_okolis.pdf
Istraživanje i proizvodnja ugljikovodika u podmorju Crne Gore	24.08.2016. - IZVJEŠĆE o provedenoj strateškoj procjeni [PDF]	http://mzoip.hr/doc/24082016_-_izvjesce_o_provedenoj_strateskoj_procjeni.PDF
Istraživanje i proizvodnja ugljikovodika u podmorju Crne Gore	22.01.2016. - OBAVIJEST o javnoj raspravi [PDF]	http://mzoip.hr/doc/22012016_-_obavijest_o_javnoj_raspravi.pdf
Istraživanje i proizvodnja ugljikovodika u podmorju Crne Gore	Strateška studija [PDF]	http://mzoip.hr/doc/strateska_studija_3.pdf
Istraživanje i proizvodnja ugljikovodika u podmorju Crne Gore	Strateška studija - engleska verzija [PDF]	http://mzoip.hr/doc/strateska_studija_-_engleska_verzija.pdf
Istraživanje i proizvodnja ugljikovodika u podmorju Crne Gore	Ne-tehnički sažetak Studije [PDF]	http://mzoip.hr/doc/ne-tehnicki_sazetak_studije_23.pdf
Istraživanje i proizvodnja ugljikovodika u podmorju Crne Gore	Ne-tehnički sažetak Studije - engleska verzija [PDF]	http://mzoip.hr/doc/ne-tehnicki_sazetak_studije_-_engleska_verzija.pdf
Istraživanje i proizvodnja ugljikovodika u podmorju Crne Gore	NACRT programa istraživanja i proizvodnje ugljikovodika u podmorju Crne Gore [PDF]	http://mzoip.hr/doc/nacrt_programa_istrazivanja_i_proizvodnje_ugljikovodika_u_podmorju_crne_gore.pdf
Strategija upravljanja vodama na području Republike Srbije	22.12.2015. - OBAVIJEST o javnoj raspravi [PDF]	http://mzoip.hr/doc/22122015_-_obavijest_o_javnoj_raspravi.pdf
Strategija upravljanja vodama na području Republike Srbije	Strateška studija [PDF]	http://mzoip.hr/doc/strateska_studija.pdf
Strategija upravljanja vodama na području Republike Srbije	Netehnički sažetak Studije [PDF]	http://mzoip.hr/doc/netehnicki_sazetak_studije_10.pdf
Strategija upravljanja vodama na području Republike Srbije	Nacrt Strategije [PDF]	http://mzoip.hr/doc/nacrt_strategije.pdf
Strategija razvoja prometa u Republici Sloveniji	29.01.2015. - INFORMACIJA o javnoj raspravi o Strateškoj studiji i Nacrtu Strategije razvoja prometa u Republici Sloveniji [PDF]	http://mzoip.hr/doc/29012015_informacija_o_javnoj_raspravi_o_strateskoj_studiji_i_nacrtu_strategije_razvoja_prometa_u_republici_sloveniji.pdf
Strategija razvoja prometa u Republici Sloveniji	Strategija razvoja prometa u Republici Sloveniji [PDF]	http://mzoip.hr/doc/strategija_razvoja_prometa_u_republici_sloveniji.pdf
Strategija razvoja prometa u Republici Sloveniji	Strateška studija [PDF]	http://mzoip.hr/doc/strateska_studija_1.pdf
Strategija razvoja prometa u Republici Sloveniji	Strateška studija - prilog 1.1. [PDF]	http://mzoip.hr/doc/strateska_studija_-_prilog_11.pdf
Strategija razvoja prometa u Republici Sloveniji	Strateška studija - prilog 1.2. [PDF]	http://mzoip.hr/doc/strateska_studija_-_prilog_12.pdf
Strategija razvoja prometa u Republici Sloveniji	Strateška studija - prilog 2. [PDF]	http://mzoip.hr/doc/strateska_studija_-_prilog_2.pdf
Strategija razvoja prometa u Republici Sloveniji	Strateška studija - prilog 3. [PDF]	http://mzoip.hr/doc/strateska_studija_-_prilog_3.pdf
Državni prostorni plan za područje HE Mokrice	07.11.2012. - INFORMACIJA o javnoj raspravi [PDF]	http://mzoip.hr/doc/07112012_informacija_o_javnoj_raspravi.pdf
Državni prostorni plan za područje HE Mokrice	Strateška studija  [PDF]	http://mzoip.hr/doc/strateska_studija_.pdf
Državni prostorni plan za područje HE Mokrice	Prilog - pregledna situacija [PDF]	http://mzoip.hr/doc/prilog_-_pregledna_situacija.pdf
Državni prostorni plan za područje HE Mokrice	Ne-tehnički sažetak [PDF]	http://mzoip.hr/doc/ne-tehnicki_sazetak.pdf
Državni prostorni plan za područje HE Mokrice	Nacrt Državnog prostornog plana za područje HE Mokrice [PDF]	http://mzoip.hr/doc/nacrt_drzavnog_prostornog_plana_za_podrucje_he_mokrice.pdf
Plan upravljanja vodnim područjem Dunavskog sliva i Jadranskog mora Republike Slovenije 2009. - 2015.	23.08.2012. - INFORMACIJA o javnoj raspravi [PDF]	http://mzoip.hr/doc/23082012_informacija_o_javnoj_raspravi.pdf
Plan upravljanja vodnim područjem Dunavskog sliva i Jadranskog mora Republike Slovenije 2009. - 2015.	Ne-tehnički sažetak Strateške studije [PDF]	http://mzoip.hr/doc/ne-tehnicki_sazetak_strateske_studije.pdf
Plan upravljanja vodnim područjem Dunavskog sliva i Jadranskog mora Republike Slovenije 2009. - 2015.	Strateška studija [PDF]	http://mzoip.hr/doc/strateska_studija_2.pdf
Nacionalni energetski program Republike Slovenije 2010. - 2030.	21.11.2011. - INFORMACIJA o javnoj raspravi [PDF]	http://mzoip.hr/doc/21112011_informacija_o_javnoj_raspravi.pdf
Nacionalni energetski program Republike Slovenije 2010. - 2030.	Ne-tehnički sažetak Strateške studije [PDF]	http://mzoip.hr/doc/ne-tehnicki_sazetak_strateske_studije_1.pdf
Nacionalni energetski program Republike Slovenije 2010. - 2030.	Sažetak Nacionalnog energetskog programa Republike Slovenije [PDF]	http://mzoip.hr/doc/sazetak_nacionalnog_energetskog_programa_republike_slovenije.pdf
Državni prostorni plan za područje HE Brežice i Državni prostorni plan za područje HE Brežice u Republici Sloveniji	01.03.2010. - INFORMACIJA o javnoj raspravi [PDF]	http://mzoip.hr/doc/01032010_informacija_o_javnoj_raspravi.pdf
Državni prostorni plan za područje HE Brežice i Državni prostorni plan za područje HE Brežice u Republici Sloveniji	Strateška studija za Državni prostorni plan za područje HE Brežice [PDF]	http://mzoip.hr/doc/strateska_studija_za_drzavni_prostorni_plan_za_podrucje_he_brezice.pdf
Državni prostorni plan za područje HE Brežice i Državni prostorni plan za područje HE Brežice u Republici Sloveniji	Državni prostorni plan za područje HE Brežice [PDF]	http://mzoip.hr/doc/drzavni_prostorni_plan_za_podrucje_he_brezice.pdf